Date,COTY news count,COTY news polarity mean,COTY news polarity std,COTY news subjectivity mean,COTY news subjectivity std
2018-07-02,2.0,0.5166666666666667,0.0,0.7166666666666667,0.0
2018-07-03,1.0,0.09428571428571429,,0.3211904761904762,
2018-07-12,1.0,0.0,,0.1,
2018-07-13,2.0,0.05555555555555555,0.0,0.25555555555555554,0.0
2018-07-14,1.0,0.11,,0.4524999999999999,
2018-07-16,1.0,0.24659090909090908,,0.521969696969697,
2018-07-18,2.0,0.15,0.0,0.24999999999999994,0.0
2018-07-19,1.0,0.05857142857142857,,0.4188095238095238,
2018-07-27,1.0,0.12467532467532468,,0.5191558441558441,
2018-08-09,2.0,-0.16,0.0,0.62,0.0
2018-08-11,1.0,0.12156250000000002,,0.4352083333333333,
2018-08-13,3.0,0.1277777777777778,0.13471506281091267,0.6148148148148148,0.06094252841446054
2018-08-14,2.0,0.003333333333333336,0.0,0.3133333333333333,0.0
2018-08-16,8.0,0.023170995670995675,0.08996075882089927,0.4544354256854256,0.22784851904083542
2018-08-17,5.0,0.16642857142857143,0.18338772770681627,0.4428571428571429,0.1920452487072263
2018-08-20,5.0,-0.0014285714285714236,0.16462697475300495,0.3714285714285714,0.09408528480228207
2018-08-21,27.0,0.02456953797231576,0.18243453899124376,0.34945884105606323,0.2252189547753892
2018-08-22,8.0,0.07936342592592593,0.10176832117673121,0.30603587962962964,0.27809678985149744
2018-08-23,2.0,0.03518518518518519,0.0,0.4398148148148149,0.0
2018-08-27,2.0,0.125,0.0,0.6875,0.0
2018-08-28,10.0,0.10754040404040403,0.10870013770862862,0.35058838383838387,0.18091975731520385
2018-08-29,6.0,0.22499999999999998,0.2819574435974337,0.2833333333333333,0.25429641497014205
2018-08-31,3.0,0.04748436748436749,0.06684932986980602,0.5582371332371332,0.033845389157039725
2018-09-02,1.0,0.0,,0.0,
2018-09-03,1.0,0.0,,0.5333333333333333,
2018-09-06,2.0,0.1292929292929293,0.0,0.3994949494949495,0.0
2018-09-11,1.0,0.09428571428571429,,0.3211904761904762,
2018-09-13,1.0,0.0,,0.0,
2018-09-18,1.0,0.09428571428571429,,0.3211904761904762,
2018-09-20,5.0,0.1392929292929293,0.11940901625054222,0.4143863636363636,0.15366508850022925
2018-09-24,3.0,0.16388888888888892,0.3120645113742658,0.4527777777777778,0.041107357185968744
2018-09-25,4.0,0.015717592592592592,0.022479239647614595,0.3530324074074074,0.10020769255518092
2018-09-28,1.0,0.0,,0.125,
2018-10-01,2.0,0.05688311688311689,0.0,0.2462337662337662,0.0
2018-10-04,6.0,-0.045462962962962955,0.08971846684033935,0.45240740740740737,0.15857882203609003
2018-10-05,6.0,0.25166666666666665,0.0801040989379861,0.49444444444444446,0.2143897454706334
2018-10-16,1.0,0.5285714285714286,,0.5952380952380952,
2018-10-17,1.0,0.24166666666666667,,0.5750000000000001,
2018-10-19,3.0,0.08429792429792428,0.07672625555384477,0.3688400488400488,0.09614045141890248
2018-10-20,1.0,0.10805555555555557,,0.39425925925925925,
2018-10-21,2.0,0.18,0.0,0.5,0.0
2018-10-23,2.0,0.41666666666666663,0.0,0.8666666666666667,0.0
2018-10-24,1.0,0.12467532467532468,,0.5191558441558441,
2018-10-25,2.0,0.03905723905723904,0.0,0.3993265993265993,0.0
2018-11-01,2.0,0.03905723905723904,0.0,0.3993265993265993,0.0
2018-11-05,2.0,0.21071428571428574,0.005050762722761075,0.4023809523809524,0.016835875742536845
2018-11-06,2.0,0.05714285714285714,0.0,0.32619047619047625,0.0
2018-11-07,33.0,-0.015671578701881746,0.2575147583432796,0.3715422208062901,0.2512797921090129
2018-11-08,5.0,0.103989898989899,0.20314925971382036,0.30237373737373735,0.1716575208335734
2018-11-09,5.0,0.09022222222222223,0.08012490249604051,0.4137777777777778,0.23290516270536987
2018-11-12,11.0,0.19031450872359965,0.09626934746827624,0.41084710743801656,0.08978317670906942
2018-11-13,2.0,0.0851045918367347,0.01717620094504671,0.4103248299319728,0.07847682708617637
2018-11-14,2.0,0.4375,0.0,0.3375,0.0
2018-11-15,1.0,0.275,,0.5791666666666667,
2018-11-17,1.0,-0.15,,0.39999999999999997,
2018-11-19,6.0,-0.0203395061728395,0.06760313633306342,0.3823765432098765,0.25843643015573775
2018-11-22,1.0,0.3,,0.45,
2018-11-23,2.0,-0.051388888888888894,0.0,0.4222222222222222,0.0
2018-11-24,1.0,-0.15625,,0.125,
2018-11-26,1.0,0.1875,,0.23958333333333331,
2018-11-27,3.0,0.08333333333333333,0.14433756729740646,0.3833333333333333,0.4907477288111819
2018-11-28,2.0,0.0,0.0,0.0,0.0
2018-11-30,3.0,-0.21944444444444444,0.13952631505415958,0.4361111111111111,0.06254627916220942
2018-12-04,1.0,0.12467532467532468,,0.5191558441558441,
2018-12-07,2.0,-0.08499999999999999,0.0,0.21833333333333335,0.0
2018-12-10,4.0,0.1645833333333333,0.2910807607164363,0.5708333333333333,0.3415989092705286
2018-12-11,2.0,0.13254464285714285,0.08643117709324855,0.4464732142857143,0.14485166591985138
2018-12-13,4.0,-0.15,0.17320508075688773,0.25,0.28867513459481287
2018-12-14,1.0,0.0,,0.0,
2018-12-17,1.0,0.0,,0.0,
2018-12-18,1.0,0.11690476190476191,,0.46880952380952384,
2018-12-20,1.0,0.1,,0.1,
2018-12-28,2.0,0.050000000000000024,0.0,0.65,0.0
2018-12-31,6.0,-0.14305555555555557,0.1725959207277271,0.3541666666666667,0.2823389413059732
2019-01-03,2.0,0.16994047619047617,0.10143615134878448,0.44702380952380955,0.23991122933115006
2019-01-06,1.0,-0.3999999999999999,,0.45833333333333337,
2019-01-07,1.0,0.07927489177489178,,0.41964285714285715,
2019-01-09,3.0,0.044800950683303614,0.07759752281086947,0.14544711824123588,0.2519217986082986
2019-01-11,4.0,0.080385101010101,0.06218493821178919,0.30802690365190366,0.07556093260897584
2019-01-15,4.0,0.015211489898989898,0.07716161080012371,0.5193686868686869,0.10050799606109521
2019-01-16,4.0,0.22363636363636363,0.004198911048651783,0.5070021645021645,0.03337884348496729
2019-01-17,1.0,0.1295959595959596,,0.43997474747474746,
2019-01-22,2.0,0.06136363636363636,0.0632110607424338,0.32579423264907137,0.1778999098806332
2019-01-23,1.0,-0.024393939393939395,,0.42340909090909096,
