Date,VIX,Gold,Oil
2018-07-02,15.600000381469727,1249.0,73.89
2018-07-03,16.139999389648438,1245.85,74.19
2018-07-05,14.970000267028809,1252.5,73.05
2018-07-06,13.369999885559082,1254.2,73.78
2018-07-09,12.6899995803833,1262.6,73.93
2018-07-10,12.640000343322754,1253.7,74.11
2018-07-11,13.630000114440918,1250.0,70.47
2018-07-12,12.579999923706055,1244.85,70.28
2018-07-13,12.180000305175781,1240.5,71.03
2018-07-16,12.829999923706055,1244.9,68.22
2018-07-17,12.0600004196167,1243.65,68.03
2018-07-18,12.100000381469727,1223.45,68.78
2018-07-19,12.869999885559082,1217.4,69.42
2018-07-20,12.859999656677246,1224.85,70.31
2018-07-23,12.619999885559082,1229.45,67.9
2018-07-24,12.40999984741211,1224.3,70.77
2018-07-25,12.289999961853027,1230.55,71.13
2018-07-26,12.140000343322754,1228.35,71.59
2018-07-27,13.029999732971191,1219.15,68.66
2018-07-30,14.260000228881836,1222.05,71.19
2018-07-31,12.829999923706055,1219.2,69.88
2018-08-01,13.149999618530273,1222.75,68.8
2018-08-02,12.1899995803833,1217.6,68.95
2018-08-03,11.640000343322754,1207.7,68.49
2018-08-06,11.270000457763672,1212.0,69.01
2018-08-07,10.930000305175781,1215.4,69.17
2018-08-08,10.850000381469727,1212.35,66.92
2018-08-09,11.270000457763672,1215.5,66.81
2018-08-10,13.15999984741211,1211.65,67.61
2018-08-13,14.779999732971191,1204.4,67.25
2018-08-14,13.3100004196167,1195.3,67.04
2018-08-15,14.640000343322754,1186.7,65.07
2018-08-16,13.449999809265137,1179.65,65.44
2018-08-17,12.640000343322754,1176.7,65.93
2018-08-20,12.489999771118164,1188.75,66.5
2018-08-21,12.859999656677246,1194.1,67.32
2018-08-22,12.25,1196.85,67.85
2018-08-23,12.40999984741211,1187.3,69.13
2018-08-24,11.989999771118164,1189.95,69.71
2018-08-27,12.15999984741211,,69.97
2018-08-28,12.5,1212.75,68.54
2018-08-29,12.25,1204.3,69.68
2018-08-30,13.529999732971191,1202.35,70.25
2018-08-31,12.859999656677246,1206.85,69.84
2018-09-04,13.15999984741211,1195.75,69.82
2018-09-05,13.90999984741211,1194.7,68.69
2018-09-06,14.649999618530273,1204.3,67.81
2018-09-07,14.880000114440918,1200.75,67.73
2018-09-10,14.15999984741211,1195.8,67.55
2018-09-11,13.220000267028809,1194.0,69.29
2018-09-12,13.140000343322754,1197.8,70.37
2018-09-13,12.369999885559082,1206.65,68.6
2018-09-14,12.069999694824219,1206.2,68.98
2018-09-17,13.680000305175781,1196.8,68.86
2018-09-18,12.789999961853027,1199.4,69.87
2018-09-19,11.75,1203.0,71.08
2018-09-20,11.800000190734863,1203.0,70.77
2018-09-21,11.680000305175781,1207.6,70.8
2018-09-24,12.199999809265137,1198.75,73.23
2018-09-25,12.420000076293945,1199.45,73.4
2018-09-26,12.890000343322754,1198.8,72.22
2018-09-27,12.40999984741211,1196.0,72.18
2018-09-28,12.119999885559082,1183.5,73.16
2018-10-01,12.0,1185.3,75.37
2018-10-02,12.050000190734863,1192.65,75.16
2018-10-03,11.609999656677246,1203.5,76.4
2018-10-04,14.220000267028809,1199.45,74.44
2018-10-05,14.819999694824219,1201.1,74.26
2018-10-08,15.6899995803833,1194.8,74.27
2018-10-09,15.949999809265137,1187.4,74.95
2018-10-10,22.959999084472656,1186.4,73.18
2018-10-11,24.979999542236328,1201.1,70.97
2018-10-12,21.309999465942383,1218.75,71.41
2018-10-15,21.299999237060547,1233.0,71.84
2018-10-16,17.6200008392334,1228.85,71.93
2018-10-17,17.399999618530273,1226.75,69.63
2018-10-18,20.059999465942383,1224.6,68.63
2018-10-19,19.889999389648438,1228.25,69.16
2018-10-22,19.639999389648438,1222.9,69.25
2018-10-23,20.709999084472656,1235.6,66.49
2018-10-24,25.229999542236328,1231.65,66.56
2018-10-25,24.219999313354492,1232.15,67.25
2018-10-26,24.15999984741211,1236.05,67.58
2018-10-29,24.700000762939453,1230.75,67.0
2018-10-30,23.350000381469727,1220.0,66.18
2018-10-31,21.229999542236328,1217.7,65.31
2018-11-01,19.34000015258789,1223.25,63.67
2018-11-02,19.510000228881836,1235.5,63.12
2018-11-05,19.959999084472656,1231.6,63.12
2018-11-06,19.90999984741211,1234.85,62.16
2018-11-07,16.360000610351562,1235.05,61.69
2018-11-08,16.719999313354492,1223.45,60.71
2018-11-09,17.360000610351562,1219.05,60.19
2018-11-12,20.450000762939453,1207.05,59.85
2018-11-13,20.020000457763672,1197.55,55.63
2018-11-14,21.25,1201.45,56.16
2018-11-15,19.979999542236328,1210.6,56.45
2018-11-16,18.139999389648438,1215.8,56.49
2018-11-19,20.100000381469727,1223.55,57.16
2018-11-20,22.479999542236328,1223.1,53.39
2018-11-21,20.799999237060547,1224.0,54.41
2018-11-23,21.520000457763672,1222.15,
2018-11-26,18.899999618530273,1226.65,51.46
2018-11-27,19.020000457763672,1225.05,51.31
2018-11-28,18.489999771118164,1213.2,50.06
2018-11-29,18.790000915527344,1226.45,51.46
2018-11-30,18.06999969482422,1220.45,50.78
2018-12-03,16.440000534057617,1231.05,52.98
2018-12-04,20.739999771118164,1239.25,53.21
2018-12-06,21.190000534057617,1236.45,51.54
2018-12-07,23.229999542236328,1241.2,52.76
2018-12-10,22.639999389648438,1246.8,51.07
2018-12-11,21.760000228881836,1248.25,51.65
2018-12-12,21.459999084472656,1244.75,51.04
2018-12-13,20.649999618530273,1244.45,52.69
2018-12-14,21.6299991607666,1239.15,51.26
2018-12-17,24.520000457763672,1239.1,49.8
2018-12-18,25.579999923706055,1248.8,46.12
2018-12-19,25.579999923706055,1248.6,47.96
2018-12-20,28.3799991607666,1255.0,45.64
2018-12-21,30.110000610351562,1257.6,45.38
2018-12-24,36.06999969482422,1261.25,
2018-12-26,30.40999984741211,,46.04
2018-12-27,29.959999084472656,1271.1,44.48
2018-12-28,28.34000015258789,1277.25,45.15
2018-12-31,25.420000076293945,,
2019-01-02,23.219999313354492,1287.2,46.31
2019-01-03,25.450000762939453,1287.95,46.92
2019-01-04,21.3799991607666,1290.35,47.76
2019-01-07,21.399999618530273,1291.5,48.27
2019-01-08,20.469999313354492,1283.9,49.58
2019-01-09,19.979999542236328,1281.3,52.19
2019-01-10,19.5,1292.4,52.42
2019-01-11,18.190000534057617,1292.8,51.44
2019-01-14,19.06999969482422,1293.7,50.31
2019-01-15,18.600000381469727,1289.35,51.8
2019-01-16,19.040000915527344,1290.5,52.08
2019-01-17,18.059999465942383,1294.0,51.83
2019-01-18,17.799999237060547,1285.05,53.6
2019-01-22,20.799999237060547,1284.75,52.59
2019-01-23,19.520000457763672,1284.9,
2019-01-24,18.889999389648438,1279.75,
2019-01-25,17.420000076293945,1282.95,
